goods_id,origin_price,cat1_name,up_down,goods_material,goods_season,goods_boduan,goods_year,shangshi_date,shangshi_month
DB105010,159,帽子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB105009,129,帽子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB170016,599,长裤,下身,梭织,2-夏季,B6,2018,NA,NA
DB131001,459,套头衫,上身,梭织,2-夏季,B6,2018,NA,NA
DB120013,559,T恤,上身,梭织,2-夏季,B6,2018,NA,NA
DB172009,499,短裤,下身,牛仔,2-夏季,B6,2018,NA,NA
DB190001,759,连衣裙,连衣裙,梭织,2-夏季,B6,2018,NA,NA
DB180001,659,半身裙,下身,梭织,2-夏季,B6,2018,NA,NA
DDW90031,630,连衣裙,连衣裙,梭织,2-夏季,全波段,2018,NA,NA
DDW30018,360,衬衣,上身,梭织,2-夏季,全波段,2018,NA,NA
DDW32011,800,套装,下身,梭织,2-夏季,全波段,2018,NA,NA
DDW30017,440,衬衣,上身,梭织,2-夏季,全波段,2018,NA,NA
DDW20008,340,T恤,上身,梭织,2-夏季,全波段,2018,NA,NA
DDW40012,630,外套,上身,梭织,2-夏季,全波段,2018,NA,NA
DDW20009,270,T恤,上身,梭织,2-夏季,全波段,2018,NA,NA
DDW10043,480,毛衣,上身,毛织,2-夏季,全波段,2018,NA,NA
DDW72007,245,短裤,下身,牛仔,2-夏季,全波段,2018,NA,NA
DDW70031,520,长裤,下身,梭织,2-夏季,全波段,2018,NA,NA
DDW20010,420,T恤,上身,梭织,2-夏季,全波段,2018,NA,NA
DDW20011,400,T恤,上身,梭织,2-夏季,全波段,2018,NA,NA
DDW72006,450,短裤,下身,梭织,2-夏季,全波段,2018,NA,NA
DDW90029,810,连衣裙,连衣裙,梭织,2-夏季,全波段,2018,NA,NA
DDW90030,630,连衣裙,连衣裙,梭织,2-夏季,全波段,2018,NA,NA
DDW10042,450,毛衣,上身,毛织,2-夏季,全波段,2018,NA,NA
DDW31013,245,套头衫,上身,梭织,2-夏季,全波段,2018,NA,NA
DB105004,199,帽子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB105003,199,帽子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB105002,129,帽子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB104008,99,手耳项,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB104007,159,手耳项,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB104006,99,手耳项,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB104005,199,手耳项,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB105007,199,帽子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB105008,199,帽子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB105001,199,帽子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB106004,39,眼镜类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB106003,39,眼镜类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB106002,199,眼镜类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB106001,199,眼镜类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB101002,659,鞋子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB101001,699,鞋子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB105006,129,帽子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB105005,159,帽子类,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB170023,599,长裤,下身,梭织,2-夏季,B6,2018,NA,NA
DB171003,659,七分裤,下身,梭织,2-夏季,B6,2018,NA,NA
DB180013,499,半身裙,下身,牛仔,2-夏季,B6,2018,NA,NA
DB190028,799,连衣裙,连衣裙,毛织,2-夏季,B6,2018,NA,NA
DB131003,659,套头衫,上身,梭织,2-夏季,B6,2018,NA,NA
DB130002,699,衬衣,上身,梭织,2-夏季,B6,2018,NA,NA
DB190038,899,连衣裙,连衣裙,梭织,2-夏季,B6,2018,NA,NA
DB190014,799,连衣裙,连衣裙,梭织,2-夏季,B6,2018,NA,NA
DB120027,539,T恤,上身,梭织,2-夏季,B6,2018,NA,NA
DB180014,599,半身裙,下身,梭织,2-夏季,B6,2018,NA,NA
DB180005,599,半身裙,下身,梭织,2-夏季,B6,2018,NA,NA
DB190024,859,连衣裙,连衣裙,梭织,2-夏季,B6,2018,NA,NA
DB180010,499,半身裙,下身,梭织,2-夏季,B5,2018,NA,NA
DB190012,859,连衣裙,连衣裙,梭织,2-夏季,B5,2018,NA,NA
DB120011,499,T恤,上身,梭织,2-夏季,B5,2018,NA,NA
DB190034,859,连衣裙,连衣裙,毛织,2-夏季,B5,2018,NA,NA
DB170015,659,长裤,下身,梭织,2-夏季,B5,2018,NA,NA
DB120014,499,T恤,上身,梭织,2-夏季,B5,2018,NA,NA
DB190013,859,连衣裙,连衣裙,梭织,2-夏季,B5,2018,NA,NA
DB170022,659,长裤,下身,牛仔,2-夏季,B5,2018,NA,NA
DB172010,459,短裤,下身,梭织,2-夏季,B5,2018,NA,NA
DB131011,599,套头衫,上身,梭织,2-夏季,B5,2018,NA,NA
DB110014,499,毛衣,上身,毛织,2-夏季,B5,2018,NA,NA
DB120012,499,T恤,上身,梭织,2-夏季,B5,2018,NA,NA
DB131014,599,套头衫,上身,梭织,2-夏季,B5,2018,NA,NA
DB190015,799,连衣裙,连衣裙,梭织,2-夏季,B5,2018,NA,NA
DB110023,499,毛衣,上身,毛织,2-夏季,B5,2018,NA,NA
DB130004,659,衬衣,上身,梭织,2-夏季,B5,2018,NA,NA
DB104001,79,手耳项,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB104004,89,手耳项,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB104003,199,手耳项,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB104002,89,手耳项,配饰品,其他,2-夏季,全波段,2018,NA,NA
DB180008,499,半身裙,下身,梭织,2-夏季,B3,2018,NA,NA
DB172004,459,短裤,下身,牛仔,2-夏季,B3,2018,NA,NA
DB190019,659,连衣裙,连衣裙,梭织,2-夏季,B4,2018,NA,NA
DB170020,499,长裤,下身,梭织,2-夏季,B4,2018,NA,NA
DB170017,559,长裤,下身,梭织,2-夏季,B4,2018,NA,NA
DB180019,399,半身裙,下身,梭织,2-夏季,B5,2018,NA,NA
DDW90027,200,连衣裙,连衣裙,梭织,4-冬季,全波段,2018,NA,NA
DDW70021,220,长裤,下身,牛仔,4-冬季,全波段,2018,NA,NA
DDW10037,140,毛衣,上身,毛织,4-冬季,全波段,2018,NA,NA
DDW10038,140,毛衣,上身,毛织,4-冬季,全波段,2018,NA,NA
DDW32010,250,套装,上身,毛织,4-冬季,全波段,2018,NA,NA
DDW10039,140,毛衣,上身,毛织,4-冬季,全波段,2018,NA,NA
DDW10040,140,毛衣,上身,毛织,4-冬季,全波段,2018,NA,NA
DDW10041,110,毛衣,上身,毛织,4-冬季,全波段,2018,NA,NA
DDW30015,250,衬衣,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW30016,250,衬衣,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW40011,370,外套,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW31011,360,套头衫,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW30011,200,衬衣,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW20006,100,T恤,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW20007,100,T恤,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW31012,220,套头衫,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW30012,200,衬衣,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW90028,200,连衣裙,连衣裙,梭织,4-冬季,全波段,2018,NA,NA
YDZ31002,150,套头衫,上身,梭织,4-冬季,D1,2016,NA,NA
DDW20001,200,T恤,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW72005,190,短裤,下身,梭织,4-冬季,全波段,2018,NA,NA
DDW90025,190,连衣裙,连衣裙,梭织,4-冬季,全波段,2018,NA,NA
DDW90026,250,连衣裙,连衣裙,梭织,4-冬季,全波段,2018,NA,NA
DDW20002,280,T恤,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW20003,280,T恤,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW20004,280,T恤,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW30010,280,衬衣,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW20005,90,T恤,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW70022,200,长裤,下身,牛仔,4-冬季,全波段,2018,NA,NA
DDW70023,200,长裤,下身,牛仔,4-冬季,全波段,2018,NA,NA
DDW70024,110,长裤,下身,梭织,4-冬季,全波段,2018,NA,NA
DDW70025,110,长裤,下身,梭织,4-冬季,全波段,2018,NA,NA
DDW70026,110,长裤,下身,梭织,4-冬季,全波段,2018,NA,NA
DDW31009,230,套头衫,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW31010,290,套头衫,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW70027,180,长裤,下身,梭织,4-冬季,全波段,2018,NA,NA
DDW70028,180,长裤,下身,梭织,4-冬季,全波段,2018,NA,NA
DDW40010,250,外套,上身,牛仔,4-冬季,全波段,2018,NA,NA
DDW40009,380,外套,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW30009,280,衬衣,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW31008,280,套头衫,上身,梭织,4-冬季,全波段,2018,NA,NA
DDW90023,300,连衣裙,连衣裙,梭织,4-冬季,全波段,2018,NA,NA
DDW30013,230,衬衣,上身,梭织,4-冬季,全波段,2018,NA,NA
