季节,序号,设计号,商品款号,色号,颜色,波段,面料,品类,款数,色数,上货时间,吊牌价,S,M,L,XL,合计,吊牌额,店铺编号,店铺名称,区域
18秋季,1,18XK104,18C110001,B09,兰,C1,毛织,毛衣,1,1,7/23,659,2,2,1,,5,3295,A7560021,香洲万家,珠海区
18秋季,2,18XK103,18C171001,B09,兰,C1,毛织,七分裤,1,1,7/23,599,2,2,1,,5,2995,A7560021,香洲万家,珠海区
18秋季,3,18QT22,18C120001,W03,白,C1,梭织,T恤,1,1,7/23,359,2,2,2,,6,2154,A7560021,香洲万家,珠海区
18秋季,4,18QSHP04,18C172001,W03,白,C1,牛仔,短裤,1,1,7/23,459,2,2,2,,6,2754,A7560021,香洲万家,珠海区
18秋季,5,18QJ16,18C140001,D01,黑,C1,梭织,外套,1,1,7/23,799,2,2,1,,5,3995,A7560021,香洲万家,珠海区
18秋季,6,18DK29,18C110002,D01,黑,C1,毛织,毛衣,1,1,7/23,399,2,2,1,,5,1995,A7560021,香洲万家,珠海区
18秋季,7,18QSH14,18C130001,B09,兰,C1,梭织,衬衣,1,1,7/23,659,2,2,,,4,2636,A7560021,香洲万家,珠海区
18秋季,8,18XT002,18C140002,E05,灰,C1,梭织,外套,1,1,7/23,599,2,2,2,,6,3594,A7560021,香洲万家,珠海区
18秋季,9,18QSP16,18C170007,D01,黑,C1,牛仔,长裤,1,1,7/23,599,2,2,2,,6,3594,A7560021,香洲万家,珠海区
18秋季,10,18QD37,18C190001,B09,兰,C1,梭织,连衣裙,1,1,7/23,859,2,2,1,,5,4295,A7560021,香洲万家,珠海区
18秋季,11,18QT25,18C120002,W03,白,C1,梭织,T恤,1,1,7/23,439,2,2,2,,6,2634,A7560021,香洲万家,珠海区
18秋季,12,18QT26,18C120003,W03,白,C1,梭织,T恤,1,1,7/23,499,2,2,1,,5,2495,A7560021,香洲万家,珠海区
18秋季,13,18DK08,18C190002,B01,深兰,C1,毛织,连衣裙,1,1,7/23,699,,,,,0,0,A7560021,香洲万家,珠海区
18秋季,14,18XSHP17,18C172002,B01,深兰,C1,梭织,短裤,1,1,7/23,499,2,2,2,1,7,3493,A7560021,香洲万家,珠海区
18秋季,15,18DK34,18C110003,B01,深兰,C1,毛织,毛衣,1,1,7/23,459,,,,,0,0,A7560021,香洲万家,珠海区
18秋季,16,18QK40,18C110004,B09,兰,C1,毛织,毛衣,1,1,7/23,659,2,2,1,,5,3295,A7560021,香洲万家,珠海区
18秋季,17,18QJ14,18C140003,B09,兰,C1,梭织,外套,1,1,7/23,659,2,2,1,,5,3295,A7560021,香洲万家,珠海区
18秋季,18,18XT45,18C120004,W03,白,C1,梭织,T恤,1,1,7/23,399,2,2,1,,5,1995,A7560021,香洲万家,珠海区
18秋季,19,18QSH08,18C130002,W03,白,C1,梭织,衬衣,1,1,7/23,699,,,,,0,0,A7560021,香洲万家,珠海区
18秋季,20,18QT08,18C120005,D01,黑,C1,梭织,T恤,1,1,7/23,399,2,2,1,,5,1995,A7560021,香洲万家,珠海区
18秋季,21,18DSP18,18C170002,D01,黑,C1,梭织,长裤,1,1,7/23,499,2,3,2,1,8,3992,A7560021,香洲万家,珠海区
18秋季,22,18XK97,18C111001,D01,黑,C1,毛织,开衫,1,1,7/23,559,2,2,1,,5,2795,A7560021,香洲万家,珠海区
18秋季,23,18QSP31,18C170003,D01,黑,C1,梭织,长裤,1,1,7/23,559,,,,,0,0,A7560021,香洲万家,珠海区
