"sale_year","sale_month","cat1_name","goods_season","goods_num","sale_amount","origin_amount","settel_amount"
2013,1,"女装","1-春",281,5.77,28.45,5.77
2013,1,"女装","3-秋",1736,43.47,243.79,43.47
2013,1,"未定义","4-冬",4,0.2,1.08,0.2
2013,1,"未定义","5-未定义",35,1.01,3.99,1.01
2013,1,"A针织衫","1-春",199,8.41,25.08,8.41
2013,1,"A针织衫","3-秋",559,21.99,69.34,21.99
2013,1,"A针织衫","4-冬",765,56.25,121.21,56.25
2013,1,"B背心","2-夏",4,0.11,0.24,0.11
2013,1,"B背心","3-秋",8,0.08,0.15,0.08
2013,1,"C衬衣","1-春",56,2.7,5.81,2.7
2013,1,"C衬衣","2-夏",6,0.12,0.61,0.12
2013,1,"C衬衣","3-秋",37,1.19,3.54,1.19
2013,1,"D大衣","4-冬",394,56.26,120.47,56.26
2013,1,"E上衣","1-春",63,1.97,4.77,1.97
2013,1,"E上衣","4-冬",6,0.79,0.94,0.79
2013,1,"F风衣","1-春",34,2.28,5.51,2.28
2013,1,"F风衣","3-秋",26,1.99,5.25,1.99
2013,1,"F风衣","4-冬",120,23.97,34.23,23.97
2013,1,"G皮草","4-冬",16,8.44,25.68,8.44
2013,1,"H打底裤","1-春",73,2.48,4.54,2.48
2013,1,"H打底裤","2-夏",-1,-0.02,-0.04,-0.02
2013,1,"H打底裤","3-秋",35,0.4,1.48,0.4
2013,1,"H打底裤","4-冬",4,0.09,0.25,0.09
2013,1,"J马夹","3-秋",6,0.24,0.64,0.24
2013,1,"K梭织裤","1-春",170,6.84,14.98,6.84
2013,1,"K梭织裤","3-秋",67,3.32,6.97,3.32
2013,1,"K梭织裤","4-冬",256,20.54,32.31,20.54
2013,1,"L连衣裙","1-春",175,11.61,22.01,11.61
2013,1,"L连衣裙","2-夏",3,0.13,0.41,0.13
2013,1,"L连衣裙","3-秋",73,3.07,10.29,3.07
2013,1,"L连衣裙","4-冬",23,3.07,4.65,3.07
2013,1,"M棉衣","1-春",88,1.16,11.64,1.16
2013,1,"M棉衣","4-冬",396,31.19,88.22,31.19
2013,1,"N牛仔裤","1-春",68,3.56,8.1,3.56
2013,1,"N牛仔裤","2-夏",1,0.05,0.1,0.05
2013,1,"N牛仔裤","3-秋",105,5.46,13,5.46
2013,1,"N牛仔裤","4-冬",195,9.5,22.91,9.5
2013,1,"P皮衣","1-春",7,1.6,3.39,1.6
2013,1,"P皮衣","3-秋",12,2.23,7,2.23
2013,1,"P皮衣","4-冬",46,21.19,40.85,21.19
2013,1,"Q腰裙","1-春",15,0.46,1.08,0.46
2013,1,"Q腰裙","3-秋",16,0.24,1.21,0.24
2013,1,"Q腰裙","4-冬",30,1.79,2.61,1.79
