cat_level1_id;cat_level1_name;cat_level2_id;cat_level2_name;long_short_id;long_short_name
A;针织衫;AA;套衫;A;-
A;针织衫;AB;开衫;B;-
A;针织衫;AC;裤;C;-
A;针织衫;AD;连衣裙;D;-
B;背心;BA;背心吊带;A;-
C;衬衫;CA;无袖衬衣;A;无袖
C;衬衫;CB;短袖衬衣;B;短袖
C;衬衫;CC;中袖衬衣;C;中袖
C;衬衫;CD;长袖衬衣;D;长袖
D;大衣;DA;短大衣;A;短
D;大衣;DB;中大衣;B;中
D;大衣;DC;长大衣;C;长
E;上衣;EA;无袖上衣;A;无袖
E;上衣;EB;短袖上衣;B;短袖
E;上衣;EC;中袖上衣;C;中袖
E;上衣;ED;长袖上衣;D;长袖
F;风衣;FA;短风衣;A;短
F;风衣;FB;中风衣;B;中
F;风衣;FC;长风衣;C;长
G;皮草;GA;皮草;A;-
H;打底裤;HA;打底裤;A;-
J;马夹;JA;马夹;A;-
K;梭织裤;KA;短裤;A;短
K;梭织裤;KB;中裤5-6分;B;中
K;梭织裤;KC;中长裤7-9分;C;中长
K;梭织裤;KD;长裤;D;长
L;连衣裙(裤);LA;吊带连衣裙;A;-
L;连衣裙(裤);LB;无袖连衣裙;B;无袖
L;连衣裙(裤);LC;短袖连衣裙;C;短袖
L;连衣裙(裤);LD;中袖连衣裙;D;中袖
L;连衣裙(裤);LE;长袖连衣裙;E;长袖
L;连衣裙(裤);LF;连身裤;F;-
M;棉衣;MA;棉背心;A;-
M;棉衣;MB;短棉衣;B;短
M;棉衣;MC;中棉衣;C;中
M;棉衣;MD;长棉衣;D;长
N;牛仔裤;NA;短裤;A;短
N;牛仔裤;NB;中裤5-6分;B;中
N;牛仔裤;NC;中长裤7-9分;C;中长
N;牛仔裤;ND;长裤;D;长
P;皮衣;PA;皮衣;A;-
Q;腰裙;QA;短裙;A;短
Q;腰裙;QB;中裙;B;中
Q;腰裙;QC;长裙;C;长
R;陈列品;RA;挂件/手链;A;-
R;陈列品;RB;腰带;B;-
R;陈列品;RC;胸针;C;-
R;陈列品;RD;眼镜;D;-
R;陈列品;RE;包;E;-
R;陈列品;RF;围巾/围脖;F;-
R;陈列品;RG;帽子;G;-
R;陈列品;RH;手套;H;-
R;陈列品;RI;袜子;I;-
R;陈列品;RJ;鞋;J;-
S;饰品;SA;挂件/手链;A;-
S;饰品;SB;腰带;B;-
S;饰品;SC;胸针;C;-
S;饰品;SD;眼镜;D;-
S;饰品;SE;包;E;-
S;饰品;SF;围巾/围脖;F;-
S;饰品;SG;帽子;G;-
S;饰品;SH;手套;H;-
S;饰品;SI;袜子;I;-
S;饰品;SJ;鞋;J;-
T;T恤;TA;无袖T恤;A;无袖
T;T恤;TB;短袖T恤;B;短袖
T;T恤;TC;中袖T恤;C;中袖
T;T恤;TD;长袖T恤;D;长袖
W;外套;WA;短外套;A;短
W;外套;WB;中外套;B;中
W;外套;WC;长外套;C;长
X;西装;XA;正装;A;-
X;西装;XB;休闲装;B;-
Y;羽绒服;YA;羽绒背心;A;-
Y;羽绒服;YB;短羽绒服;B;短
Y;羽绒服;YC;中羽绒服;C;中
Y;羽绒服;YD;长羽绒服;D;长
Z;赠品;ZA;长羽绒服;A;长
TZ;套装;TZ;套装;Z;-
